"website_name","url","country","region","category","contact_email","contact_page","reason_to_link","outreach_angle","quality_score_1_10","priority","status","contact_date","follow_up_date","response","link_acquired","anchor_text","target_page","notes"
"Gearbox Kenya","https://www.gearbox.co.ke/","Kenya","East Africa","innovation hub","","https://www.gearbox.co.ke/contact/","Hardware and innovation community aligns with engineering opportunities.","Pitch engineering/startup career resource.","7","medium","not contacted","","","","no","Engineering jobs resource","https://somkenjobs.com/career-resources","Verify contact."
"GrowthAfrica","https://growthafrica.com/","Kenya","Africa","startup accelerator","","https://growthafrica.com/contact/","Entrepreneurship network may share talent and employer resources.","Offer regional employer and career visibility resource.","7","medium","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/jobs","Startup ecosystem angle."
"VC4A","https://vc4a.com/","Netherlands","Africa","startup platform","","https://vc4a.com/contact/","African startup platform lists ecosystem resources and opportunities.","Pitch Somali/Kenyan startup and career resource.","7","medium","not contacted","","","","no","Somken Jobs","https://somkenjobs.com/career-resources","Resource page needed first."
"StartupBlink","https://www.startupblink.com/","Global","Global","startup directory","","https://www.startupblink.com/contact","Startup ecosystem directory may reference regional resources.","Submit only if there is a legitimate resource listing path.","6","medium","not contacted","","","","no","Somalia startup career resources","https://somkenjobs.com/career-resources","Avoid paid directory offers."
"Disrupt Africa","https://disrupt-africa.com/","South Africa","Africa","media","","https://disrupt-africa.com/contact/","African tech/business readers may value Somalia/Kenya hiring insights.","Pitch data story after publishing hiring report.","7","medium","not contacted","","","","no","East Africa hiring report","https://somkenjobs.com/career-resources","Media outreach only with data."
"TechCabal","https://techcabal.com/","Nigeria","Africa","media","","https://techcabal.com/contact/","African tech audience may cover East Africa startup/career trends.","Pitch data-led story, not a generic backlink.","7","medium","not contacted","","","","no","East Africa jobs data","https://somkenjobs.com/career-resources","Use media template."
"TechMoran","https://techmoran.com/","Kenya","East Africa","media","","https://techmoran.com/contact-us/","Kenya tech/business readers align with opportunity resources.","Pitch startup and youth employment resource.","7","medium","not contacted","","","","no","Kenya career resources","https://somkenjobs.com/career-resources","Media template."
"CIO Africa","https://cioafrica.co/","Kenya","Africa","media","","https://cioafrica.co/contact-us/","Technology leadership audience may value talent trend data.","Pitch East Africa hiring trends report.","7","medium","not contacted","","","","no","East Africa hiring report","https://somkenjobs.com/career-resources","Best after publishing data."
"WeeTracker","https://weetracker.com/","Kenya","Africa","media","","https://weetracker.com/contact-us/","African startup/business audience may cover jobs and ecosystem growth.","Pitch data/resource story.","6","medium","not contacted","","","","no","East Africa jobs resource","https://somkenjobs.com/career-resources","Verify activity before outreach."
"AfricArena","https://www.africarena.com/","South Africa","Africa","startup platform","","https://www.africarena.com/contact","African startup ecosystem may value talent resources.","Offer startup hiring resource for East Africa founders.","6","medium","not contacted","","","","no","Startup jobs resource","https://somkenjobs.com/jobs","Resource fit depends on content."
"Baobab Network","https://thebaobabnetwork.com/","Kenya","Africa","startup investor","","https://thebaobabnetwork.com/contact","Startup founders may need hiring and talent resources.","Share employer/talent guide for startups.","6","medium","not contacted","","","","no","East Africa startup jobs","https://somkenjobs.com/jobs","Partnership angle."
"Nation Africa","https://nation.africa/kenya","Kenya","East Africa","media","","https://nation.africa/kenya/contact-us-330232","Large audience; useful only for data-driven employment story.","Pitch job market data/report, not resource-page link.","7","medium","not contacted","","","","no","East Africa hiring report","https://somkenjobs.com/career-resources","High bar for editorial relevance."
"Business Daily Africa","https://www.businessdailyafrica.com/","Kenya","East Africa","media","","https://www.businessdailyafrica.com/bd/page/contact-us-2048368","Business readers align with labor market and employer trend content.","Pitch data-backed article idea.","7","medium","not contacted","","","","no","East Africa hiring report","https://somkenjobs.com/career-resources","Only after publishing report."
"The Standard Kenya","https://www.standardmedia.co.ke/","Kenya","East Africa","media","","https://www.standardmedia.co.ke/contact-us","Broad Kenyan audience; potential for youth/jobs resources.","Pitch career guide or job scam safety guide.","6","medium","not contacted","","","","no","Kenya career resources","https://somkenjobs.com/career-resources","Use focused story."
"The Star Kenya","https://www.the-star.co.ke/","Kenya","East Africa","media","","https://www.the-star.co.ke/contact-us","Broad news audience; useful for employment data stories.","Pitch monthly hiring trends or job scam guide.","6","medium","not contacted","","","","no","Kenya job safety guide","https://somkenjobs.com/career-resources","Media template."
"Capital FM Kenya","https://www.capitalfm.co.ke/","Kenya","East Africa","media","","https://www.capitalfm.co.ke/contact-us/","Business and lifestyle readers may value career resources.","Pitch graduate career guide or job scam guide.","6","medium","not contacted","","","","no","Kenya career resources","https://somkenjobs.com/career-resources","Use human-interest angle."
"Citizen Digital","https://www.citizen.digital/","Kenya","East Africa","media","","https://www.citizen.digital/contact-us","High reach; only pitch strong employment data or public-service guide.","Offer data from Somken Jobs if unique.","6","medium","not contacted","","","","no","East Africa hiring report","https://somkenjobs.com/career-resources","Do not pitch generic link."
"Tuko","https://www.tuko.co.ke/","Kenya","East Africa","media","","https://www.tuko.co.ke/contact-us/","Career and opportunities content may fit if useful to readers.","Pitch practical job seeker guide.","5","medium","not contacted","","","","no","Kenya career resources","https://somkenjobs.com/career-resources","Check editorial standards first."
"The EastAfrican","https://www.theeastafrican.co.ke/","Kenya","East Africa","media","","https://www.theeastafrican.co.ke/tea/page/contact-us-3921930","Regional publication aligns with East Africa labor market analysis.","Pitch East Africa humanitarian hiring trends.","7","medium","not contacted","","","","no","East Africa hiring report","https://somkenjobs.com/career-resources","Data-led outreach."
"Hiiraan Online","https://www.hiiraan.com/","Somalia","Horn of Africa","media","","https://www.hiiraan.com/contact.aspx","Somali diaspora and local readers may value career resources.","Pitch Somalia career or job scam safety guide.","7","medium","not contacted","","","","no","Somalia jobs resource","https://somkenjobs.com/jobs","Somali audience fit."
"Garowe Online","https://www.garoweonline.com/","Somalia","Horn of Africa","media","","https://www.garoweonline.com/en/contact-us","Somalia news readers may value public-service and NGO job resources.","Pitch Somali jobs and youth employment resource.","7","medium","not contacted","","","","no","Somalia jobs resource","https://somkenjobs.com/jobs","Media template."
"Somali Guardian","https://somaliguardian.com/","Somalia","Horn of Africa","media","","https://somaliguardian.com/contact-us/","Somalia-focused audience aligns with career and public-service resources.","Pitch data/resource story.","6","medium","not contacted","","","","no","Somalia career resources","https://somkenjobs.com/career-resources","Verify editorial contact."
"Radio Dalsan","https://www.radiodalsan.com/","Somalia","Horn of Africa","media","","https://www.radiodalsan.com/contact-us/","Somalia audience may benefit from job scam safety or youth jobs guide.","Pitch public-service career resource.","6","medium","not contacted","","","","no","Somalia jobs resource","https://somkenjobs.com/jobs","Good public-service angle."
"Goobjoog News","https://goobjoog.com/","Somalia","Horn of Africa","media","","https://goobjoog.com/contact-us/","Somalia news audience may value verified job resources.","Pitch job safety or career guide.","6","medium","not contacted","","","","no","Somalia career resources","https://somkenjobs.com/career-resources","Verify contact."
"Horseed Media","https://horseedmedia.net/","Somalia","Horn of Africa","media","","https://horseedmedia.net/contact-us/","Somali readers may use career resources and public-service directories.","Pitch useful Somalia jobs guide.","6","medium","not contacted","","","","no","Somalia jobs resource","https://somkenjobs.com/jobs","Media template."
"Kenya NGO Coordination Board","https://ngobureau.go.ke/","Kenya","East Africa","government/public resource","","https://ngobureau.go.ke/contact-us/","Registered NGO ecosystem overlaps with NGO job seekers and employers.","Ask if career/resource guide is suitable for external resources.","7","medium","not contacted","","","","no","Kenya NGO career resources","https://somkenjobs.com/career-resources","Government resource outreach; be conservative."
"Kenya Public Service Commission","https://www.publicservice.go.ke/","Kenya","East Africa","government/public resource","","https://www.publicservice.go.ke/contact-us/","Public-service job seekers may use complementary career resources.","Only pitch public-service career guide if clearly useful.","6","medium","not contacted","","","","no","Kenya public-service career resources","https://somkenjobs.com/career-resources","May not link; keep low-pressure."
"Kenya Ministry of Labour and Social Protection","https://labour.go.ke/","Kenya","East Africa","government/public resource","","https://labour.go.ke/contact-us/","Labor market and job safety content may support public awareness.","Pitch job scam verification guide.","6","medium","not contacted","","","","no","Job scam safety guide","https://somkenjobs.com/career-resources","Best after publishing safety guide."
"Ajira Digital","https://ajiradigital.go.ke/","Kenya","East Africa","government/public resource","","https://ajiradigital.go.ke/contact-us","Youth and digital jobs program aligns with career resources.","Share East Africa verified jobs and remote work guides.","7","medium","not contacted","","","","no","Remote jobs guide","https://somkenjobs.com/career-resources","Good youth employment fit."
"Somalia Ministry of Labour and Social Affairs","https://molgov.so/","Somalia","Horn of Africa","government/public resource","","https://molgov.so/contact/","Public labor agency audience overlaps with job seekers.","Offer public-service job safety or verified opportunity guide.","7","medium","not contacted","","","","no","Somalia job seeker resources","https://somkenjobs.com/career-resources","Verify current official contact."
"Somalia Ministry of Planning","https://mop.gov.so/","Somalia","Horn of Africa","government/public resource","","https://mop.gov.so/contact/","Development and public-resource audience overlaps with NGO careers.","Pitch public-service and NGO career resource.","6","medium","not contacted","","","","no","Somalia NGO career resources","https://somkenjobs.com/career-resources","Best with strong resource page."
"National Communications Authority Somalia","https://nca.gov.so/","Somalia","Horn of Africa","government/public resource","","https://nca.gov.so/contact/","ICT sector professionals may value verified opportunities.","Pitch ICT/professional opportunities resource.","6","medium","not contacted","","","","no","Somalia professional jobs","https://somkenjobs.com/jobs","Only if ICT resource exists."
"ACRED Somalia","https://acred.org/","Somalia","Horn of Africa","NGO","","https://acred.org/contact-us/","Local NGO audience aligns with Somalia jobs and public-service resources.","Ask to review resource and consider listing for beneficiaries/partners.","7","medium","not contacted","","","","no","Somalia NGO jobs","https://somkenjobs.com/jobs","Local NGO outreach."
